CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D210;NB_D212;NB_D214;NB_D231;NB_D232;NB_D233;NB_D235;NB_D237;NB_D238;NB_D240;NB_D243
21171;21171;Chevigny-Saint-Sauveur;2;Centres urbains intermédiaires;10944;0,0;85,4;0,0;9,6;0,0;4,8;0,2;CÃ´te-d'Or;Bourgogne-Franche-ComtÃ©;0;0;0;1;0;0;0;0;0;0;12;0;2;0;0;0;0;2;0;1;12;17;5;4;1;0;3
21617;21617;Talant;1;Grands centres urbains;11894;96,8;0,0;0,0;1,4;0,0;1,9;0,0;CÃ´te-d'Or;Bourgogne-Franche-ComtÃ©;0;0;0;1;0;0;1;0;0;0;13;1;0;4;0;2;0;8;0;2;8;29;6;3;0;0;4
22050;22050;Dinan;2;Centres urbains intermédiaires;14675;0,0;60,6;0,0;37,6;0,0;1,9;0,0;CÃ´tes-d'Armor;Bretagne;1;5;1;1;1;2;0;0;1;1;12;2;1;4;1;5;0;7;2;1;23;22;9;7;2;0;14
22093;22093;Lamballe-Armor;5;Bourgs ruraux;16845;0,0;0,0;47,2;0,0;14,3;29,0;9,5;CÃ´tes-d'Armor;Bretagne;1;1;1;4;0;1;0;0;1;1;15;3;1;0;1;7;1;1;0;5;25;22;4;7;0;0;6
22187;22187;Plérin;4;Ceintures urbaines;14704;16,9;0,0;0,0;57,1;3,3;22,3;0,6;CÃ´tes-d'Armor;Bretagne;0;0;0;2;0;0;0;1;0;0;16;1;0;8;3;9;8;18;8;5;20;28;7;6;2;2;8
22215;22215;Ploufragan;1;Grands centres urbains;11369;50,8;0,0;0,0;27,5;3,7;16,5;1,5;CÃ´tes-d'Armor;Bretagne;0;0;0;1;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;2;13;10;2;2;0;0;4
23096;23096;Guéret;2;Centres urbains intermédiaires;12840;0,0;58,8;0,0;29,3;0,0;11,7;0,3;Creuse;Nouvelle-Aquitaine;1;5;1;3;1;1;0;2;0;0;12;4;0;2;3;0;1;26;3;3;34;13;3;4;1;1;6
24053;24053;Boulazac Isle Manoire;5;Bourgs ruraux;10697;0,0;12,9;0,0;32,2;15,8;33,9;5,2;Dordogne;Nouvelle-Aquitaine;1;0;0;1;0;0;0;0;1;0;8;0;1;0;1;0;1;0;0;1;13;11;5;1;0;0;3
25031;25031;Audincourt;1;Grands centres urbains;13944;87,1;0,0;0,0;12,6;0,0;0,3;0,0;Doubs;Bourgogne-Franche-ComtÃ©;1;0;0;1;1;0;0;0;1;0;14;0;0;0;1;1;0;12;0;3;14;12;4;3;0;0;3
25462;25462;Pontarlier;2;Centres urbains intermédiaires;17849;0,0;86,1;0,0;10,9;0,0;2,5;0,5;Doubs;Bourgogne-Franche-ComtÃ©;1;6;1;1;0;1;0;0;0;0;18;1;3;0;1;1;2;14;2;6;12;32;12;8;2;2;15
25580;25580;Valentigney;1;Grands centres urbains;10765;80,3;0,0;0,0;19,7;0,0;0,0;0,0;Doubs;Bourgogne-Franche-ComtÃ©;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;10;2;1;1;0;0;5
26058;26058;Bourg-lès-Valence;1;Grands centres urbains;19581;81,8;0,0;0,0;11,3;0,0;6,5;0,5;DrÃ´me;Auvergne-RhÃ´ne-Alpes;0;0;0;1;0;0;0;1;0;0;7;1;0;0;0;0;0;2;0;2;23;16;7;2;0;1;2
26235;26235;Pierrelatte;2;Centres urbains intermédiaires;13799;0,0;53,4;0,0;35,5;0,0;7,2;3,9;DrÃ´me;Auvergne-RhÃ´ne-Alpes;1;2;1;1;0;0;0;1;0;0;7;2;1;0;1;1;0;6;0;1;36;9;4;2;1;0;6
26252;26252;Portes-lès-Valence;2;Centres urbains intermédiaires;10422;0,0;65,6;0,0;30,2;0,0;2,9;1,3;DrÃ´me;Auvergne-RhÃ´ne-Alpes;1;1;0;1;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;3;27;16;8;2;1;0;1
27284;27284;Gisors;2;Centres urbains intermédiaires;11919;0,0;77,9;0,0;20,5;0,0;1,5;0,1;Eure;Normandie;1;1;0;1;1;0;0;1;0;0;11;0;0;0;1;1;1;7;1;2;18;12;2;6;1;3;3
27375;27375;Louviers;2;Centres urbains intermédiaires;18350;0,0;66,2;0,0;28,0;0,0;5,2;0,5;Eure;Normandie;1;5;0;1;1;1;0;1;1;1;15;2;0;1;0;1;0;13;1;3;23;7;6;4;0;1;8
27701;27701;Val-de-Reuil;2;Centres urbains intermédiaires;12647;0,0;81,8;0,0;16,4;0,0;1,0;0,8;Eure;Normandie;1;2;1;1;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;11;1;4;1;0;0;2
28088;28088;Châteaudun;3;Petites villes;12909;0,0;0,0;90,5;0,0;0,0;8,5;1,0;Eure-et-Loir;Centre-Val de Loire;1;3;0;1;1;1;1;1;2;2;8;3;0;2;0;2;0;6;0;3;11;10;3;5;0;1;5
28218;28218;Lucé;1;Grands centres urbains;15602;85,6;0,0;0,0;13,3;0,0;1,2;0,0;Eure-et-Loir;Centre-Val de Loire;0;0;1;1;0;0;0;2;0;0;13;0;2;0;0;3;0;0;1;0;12;5;0;7;0;1;3
28229;28229;Mainvilliers;1;Grands centres urbains;11057;90,1;0,0;0,0;5,4;0,0;3,9;0,7;Eure-et-Loir;Centre-Val de Loire;0;0;0;2;0;2;0;1;0;0;13;4;0;1;0;0;1;10;3;3;8;9;0;2;0;2;3
28404;28404;Vernouillet;2;Centres urbains intermédiaires;12455;0,0;71,1;0,0;28,9;0,0;0,0;0,1;Eure-et-Loir;Centre-Val de Loire;0;0;0;2;0;0;0;0;1;2;6;2;0;0;0;0;0;0;1;0;15;3;2;1;1;0;1
29046;29046;Douarnenez;3;Petites villes;14163;0,0;0,0;87,7;0,0;0,0;10,6;1,7;FinistÃ¨re;Bretagne;1;1;0;1;0;1;0;0;0;0;21;0;1;2;0;2;1;1;0;3;71;15;6;5;2;3;4
29058;29058;Fouesnant;3;Petites villes;10098;0,0;0,0;67,6;0,0;0,2;30,8;1,4;FinistÃ¨re;Bretagne;0;0;0;1;0;0;0;0;0;0;16;0;3;0;0;1;0;0;1;1;25;17;3;5;1;0;2
29075;29075;Guipavas;4;Ceintures urbaines;15460;9,8;0,0;0,0;73,8;0,0;14,0;2,4;FinistÃ¨re;Bretagne;0;0;0;1;0;0;0;0;0;0;15;0;0;0;7;0;0;0;0;1;24;19;9;6;0;1;2
29103;29103;Landerneau;2;Centres urbains intermédiaires;16206;0,0;68,4;0,0;26,9;0,0;4,5;0,2;FinistÃ¨re;Bretagne;1;2;0;1;0;0;0;1;0;0;18;0;3;0;0;1;3;4;1;1;37;26;5;6;1;0;14
29151;29151;Morlaix;2;Centres urbains intermédiaires;14903;0,0;60,2;0,0;28,2;3,9;5,5;2,2;FinistÃ¨re;Bretagne;2;4;0;3;1;2;0;1;1;1;15;14;6;4;1;5;2;15;1;1;46;22;12;8;1;0;16
29189;29189;Plougastel-Daoulas;4;Ceintures urbaines;13445;0,0;0,0;0,0;57,2;0,0;42,0;0,8;FinistÃ¨re;Bretagne;1;2;0;1;0;0;0;0;1;1;15;0;0;0;0;1;0;7;0;1;35;17;4;4;1;0;1
29212;29212;Plouzané;4;Ceintures urbaines;13473;0,0;0,0;0,0;88,2;0,0;9,2;2,6;FinistÃ¨re;Bretagne;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;25;7;2;2;0;1;2
